Australian Bureau of Statistics,,,,,,,,,,,
"Schools, Australia, 2020",,,,,,,,,,,
#REF!,,,,,,,,,,,
#REF!,,,,,,,,,,,
Year,State/Territory,Affiliation (Gov/Non-gov),Affiliation (Gov/Cath/Ind),FT/PT,Sex,School Level,National Report on Schooling (ANR) School Level,Year (Grade),FTE Aboriginal and Torres Strait Islander Students ,FTE Non-Indigenous Students ,FTE All Students 
2020,a NSW,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),3102,33669,36771
2020,a NSW,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,b Year 1,3153,33636,36789
2020,a NSW,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,c Year 2,3106,34483,37589
2020,a NSW,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,d Year 3,2969,33682,36651
2020,a NSW,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,e Year 4,2834,33465,36299
2020,a NSW,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,f Year 5,2769,32509,35278
2020,a NSW,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,g Year 6,2826,32077,34903
2020,a NSW,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,i Ungraded primary,240,1445,1685
2020,a NSW,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,j Year 7 secondary,2877,27715,30592
2020,a NSW,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,2706,27316,30022
2020,a NSW,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,l Year 9,2608,26453,29061
2020,a NSW,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,2432,25627,28059
2020,a NSW,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,p Ungraded secondary,420,2092,2512
2020,a NSW,a Government,a Government,a Full-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,1495,21506,23001
2020,a NSW,a Government,a Government,a Full-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,882,17079,17961
2020,a NSW,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),2847,30992,33839
2020,a NSW,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,b Year 1,2731,31523,34254
2020,a NSW,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,c Year 2,2861,31947,34808
2020,a NSW,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,d Year 3,2758,31472,34230
2020,a NSW,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,e Year 4,2688,31338,34026
2020,a NSW,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,f Year 5,2749,30724,33473
2020,a NSW,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,g Year 6,2735,30635,33370
2020,a NSW,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,i Ungraded primary,63,507,570
2020,a NSW,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,j Year 7 secondary,2744,25542,28286
2020,a NSW,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,k Year 8,2670,25357,28027
2020,a NSW,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,l Year 9,2425,24454,26879
2020,a NSW,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,2268,23853,26121
2020,a NSW,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,p Ungraded secondary,146,867,1013
