Australian Bureau of Statistics,,,,,,
"Schools, Australia 2020",,,,,,
"Released at 11.30am (Canberra time) Friday, 19 February, 2021",,,,,,
"Table 46a Students (FTE) by ASGS Remoteness Indicator and Affiliation, States and Territories, 2020",,,,,,
Year,State/Territory,Affiliation,ASGS Remoteness Classification,Male Count (FTE),Female Count (FTE),Total Student Count (FTE)
2020,a NSW,a Government,a Major City,"313,282.70","293,888.10","607,170.80"
2020,a NSW,a Government,b Inner Regional,"79,973.60","75,104.00","155,077.60"
2020,a NSW,a Government,c Outer Regional,"22,453.20","21,451.60","43,904.80"
2020,a NSW,a Government,d Remote,"1,566.40","1,597.20","3,163.60"
2020,a NSW,a Government,e Very Remote,390,370,760
2020,a NSW,b Non-Government,a Major City,"171,006.50","168,344.90","339,351.40"
2020,a NSW,b Non-Government,b Inner Regional,"38,858.70","39,866.40","78,725.10"
2020,a NSW,b Non-Government,c Outer Regional,"6,011.50","6,226.20","12,237.70"
2020,a NSW,b Non-Government,d Remote,383,387,770
2020,a NSW,b Non-Government,e Very Remote,42,29,71
2020,b Vic.,a Government,a Major City,"256,928.30","238,148.50","495,076.80"
2020,b Vic.,a Government,b Inner Regional,"62,768.30","57,965.20","120,733.50"
2020,b Vic.,a Government,c Outer Regional,"13,890.40","12,994.90","26,885.30"
2020,b Vic.,a Government,d Remote,205,214,419
2020,b Vic.,a Government,e Very Remote,0,0,0
2020,b Vic.,b Non-Government,a Major City,"140,089.60","143,033.60","283,123.20"
2020,b Vic.,b Non-Government,b Inner Regional,"34,984.80","35,148.40","70,133.20"
2020,b Vic.,b Non-Government,c Outer Regional,"4,245.20","4,334.40","8,579.60"
2020,b Vic.,b Non-Government,d Remote,0,0,0
2020,b Vic.,b Non-Government,e Very Remote,0,0,0
2020,c Qld,a Government,a Major City,"185,487.20","176,150.40","361,637.60"
2020,c Qld,a Government,b Inner Regional,"57,431.70","54,662.80","112,094.50"
2020,c Qld,a Government,c Outer Regional,"43,240.30","40,730.30","83,970.60"
2020,c Qld,a Government,d Remote,"4,071.10","3,650.00","7,721.10"
2020,c Qld,a Government,e Very Remote,"3,826.70","3,557.10","7,383.80"
2020,c Qld,b Non-Government,a Major City,"96,185.70","93,242.90","189,428.60"
2020,c Qld,b Non-Government,b Inner Regional,"26,872.10","26,636.10","53,508.20"
2020,c Qld,b Non-Government,c Outer Regional,"19,002.80","18,968.80","37,971.60"
2020,c Qld,b Non-Government,d Remote,"1,128.80",956.4,"2,085.20"
2020,c Qld,b Non-Government,e Very Remote,462,423,885
2020,d SA,a Government,a Major City,"64,713.90","60,536.60","125,250.50"
2020,d SA,a Government,b Inner Regional,"12,178.20","11,436.50","23,614.70"
2020,d SA,a Government,c Outer Regional,"10,445.20","9,646.90","20,092.10"
2020,d SA,a Government,d Remote,"2,811.50","2,522.60","5,334.10"
2020,d SA,a Government,e Very Remote,942,943.5,"1,885.50"
2020,d SA,b Non-Government,a Major City,"40,004.30","39,981.00","79,985.30"
2020,d SA,b Non-Government,b Inner Regional,"5,122.60","5,003.50","10,126.10"
2020,d SA,b Non-Government,c Outer Regional,"2,375.70","2,484.10","4,859.80"
2020,d SA,b Non-Government,d Remote,714,769.4,"1,483.40"
2020,d SA,b Non-Government,e Very Remote,56,71.5,127.5
2020,e WA,a Government,a Major City,"114,442.40","107,075.70","221,566.10"
2020,e WA,a Government,b Inner Regional,"13,401.40","12,353.80","25,759.20"
2020,e WA,a Government,c Outer Regional,"11,374.20","10,468.00","21,842.20"
2020,e WA,a Government,d Remote,"6,677.80","6,342.80","13,021.60"
2020,e WA,a Government,e Very Remote,"3,986.40","3,699.80","7,687.20"
2020,e WA,b Non-Government,a Major City,"58,649.60","58,513.70","117,163.30"
2020,e WA,b Non-Government,b Inner Regional,"5,180.00","5,123.40","10,303.40"
2020,e WA,b Non-Government,c Outer Regional,"4,195.00","4,471.10","8,666.10"
2020,e WA,b Non-Government,d Remote,"1,048.00","1,028.00","2,076.00"
2020,e WA,b Non-Government,e Very Remote,792,747.3,"1,539.30"
2020,f Tas.,a Government,a Major City,0,0,0
2020,f Tas.,a Government,b Inner Regional,19876.15,18788.17,"38,664.30"
2020,f Tas.,a Government,c Outer Regional,8828.01,8496.04,"17,324.10"
2020,f Tas.,a Government,d Remote,255.96,258.25,514.2
2020,f Tas.,a Government,e Very Remote,140,143.44,283.4
2020,f Tas.,b Non-Government,a Major City,0,0,0
2020,f Tas.,b Non-Government,b Inner Regional,"10,442.10","10,772.80","21,214.90"
2020,f Tas.,b Non-Government,c Outer Regional,"1,865.50","1,793.00","3,658.50"
2020,f Tas.,b Non-Government,d Remote,73,68,141
2020,f Tas.,b Non-Government,e Very Remote,0,0,0
2020,g NT,a Government,a Major City,0,0,0
2020,g NT,a Government,b Inner Regional,0,0,0
2020,g NT,a Government,c Outer Regional,9051,8612.6,"17,663.60"
2020,g NT,a Government,d Remote,2567.3,2419.2,"4,986.50"
2020,g NT,a Government,e Very Remote,3903.2,3765.8,"7,669.00"
2020,g NT,b Non-Government,a Major City,0,0,0
2020,g NT,b Non-Government,b Inner Regional,0,0,0
2020,g NT,b Non-Government,c Outer Regional,"3,213.10","3,222.30","6,435.40"
